Applicant ID,Position,Application Date,Stage Name,Applicant Status,OwnerName,Country,Applicant Name,Salary Expectations
5046,Front-End Developer,9/3/2019,Application,lost,Leslie Winkle,India,Sahashri  Lipina,"$1,000"
5047,Technical Writer,9/3/2019,Profile review,open,Leonard Hofstadter,India,Fatih  Matsko,"$1,100"
5048,Office Manager,9/3/2019,Profile review,open,Leonard Hofstadter,France,Michał  Maksymets,$500
5049,Office Manager,9/3/2019,Profile review,open,Leonard Hofstadter,Singapore,Alexandru   Mozolevskaya,$300
5050,Financial Controller,9/3/2019,Test task,open,Stuart Bloom,India,Olga   Akauba,"$2,500"
5015,Technical Writer,9/2/2019,Profile review,open,Leonard Hofstadter,Poland,Dmytro  singh,"$6,000"
5016,Data Analyst,9/2/2019,Test task,open,Leonard Hofstadter,Poland,Svitlana   Victorino,"$1,300"
5018,Technical Writer,9/2/2019,Profile review,open,Leonard Hofstadter,Brazil,Oleh   Ocalewicz,"$1,300"
5019,Financial Controller,9/2/2019,Profile review,lost,Stuart Bloom,Singapore,"Workers Solutions,  Jere","$3,300"
5020,Front-End Developer,9/2/2019,Application,lost,Leslie Winkle,United Kingdom,Haikal  Chikunova,$300
5014,Financial Controller,9/1/2019,Test task,open,Stuart Bloom,Canada,Taras   Shemet,"$1,400"
5012,Financial Controller,8/31/2019,Test task,open,Stuart Bloom,India,Dmitriy   Uridia,"$2,300"
5013,Technical Writer,8/31/2019,Profile review,open,Leonard Hofstadter,United States,Daria  Korta,"$2,000"
5004,Office Manager,8/30/2019,Profile review,lost,Leslie Winkle,Netherlands,DawidC  Lytvynov,$600
5006,Full Stack Engineer,8/30/2019,Test task,open,Sheldon Cooper,Brazil,Anatolii  Visco,"$2,300"
5007,Technical Writer,8/30/2019,Profile review,open,Stuart Bloom,Spain,Kostyantyn  Stasko,"$1,000"
5008,Technical Writer,8/30/2019,Profile review,open,Leonard Hofstadter,Ukraine,Inga  Maksymets,$500
5009,Data Analyst,8/30/2019,Profile review,lost,Leonard Hofstadter,Germany,Vladislav  Nikitiuk,$700
5010,Front-End Developer,8/30/2019,Profile review,open,Leslie Winkle,Brazil,Sergey  Oyon,"$1,600"
5011,Office Manager,8/30/2019,Profile review,open,Leonard Hofstadter,United Kingdom,Armstrong  Buderkevych,"$1,300"
4986,Technical Writer,8/29/2019,Profile review,open,Leonard Hofstadter,Poland,Elvira  wisniowski,$200
4987,Front-End Developer,8/29/2019,Test task,open,Leslie Winkle,Singapore,Oleksii  Ranjan Behera,"$2,100"
4988,Technical Writer,8/29/2019,Profile review,open,Leonard Hofstadter,Spain,Tamir  Rybchenko,$200
4989,Technical Writer,8/29/2019,Profile review,open,Leonard Hofstadter,Ukraine,Ranjeeta  Gupta Gupta,$200
4990,Full Stack Node JS Engineer,8/29/2019,Profile review,lost,Sheldon Cooper,Poland,Dmitriy  Savliuk,"$3,300"
4991,Front-End Developer,8/29/2019,Profile review,open,Leslie Winkle,United Kingdom,Renat  Polukhin,$700
4992,Technical Writer,8/29/2019,Profile review,lost,Leslie Winkle,Spain,Akshi   PAUL,"$1,000"
4998,Office Manager,8/29/2019,Test task,open,Leslie Winkle,Spain,Irakli   Arosemena,$300
4999,Full Stack Node JS Engineer,8/29/2019,Test task,open,Sheldon Cooper,Netherlands,Elvira  Velychko,"$2,000"
5000,Financial Controller,8/29/2019,Profile review,lost,Stuart Bloom,Germany,Larry  Horizon,"$3,300"
5001,Office Manager,8/29/2019,Test task,open,Leslie Winkle,India,Maksym  Hernandez,$800
5002,Technical Writer,8/29/2019,Profile review,open,Leonard Hofstadter,United Kingdom,Ewa  Żukowska,$400
4972,Full Stack Engineer,8/28/2019,Test task,open,Sheldon Cooper,United Kingdom,Nikolay  Stechenko,"$1,200"
4973,Data Analyst,8/28/2019,Profile review,lost,Leonard Hofstadter,South Korea,Olia  Rachwalski,"$1,800"
4974,Financial Controller,8/28/2019,Test task,open,Stuart Bloom,India,Anna   Kujawa,"$2,300"
4975,Technical Writer,8/28/2019,Profile review,open,Leonard Hofstadter,Singapore,Jake  Arisah,$200
4976,Technical Writer,8/28/2019,Profile review,lost,Leonard Hofstadter,Spain,Ulan  Hanko,"$1,000"
4977,Technical Writer,8/28/2019,Profile review,lost,Leonard Hofstadter,Singapore,Katarzyna  Maksimenko,"$1,200"
4978,Technical Writer,8/28/2019,Profile review,lost,Leonard Hofstadter,Sweeden,Mykola  N,"$2,200"
4979,Technical Writer,8/28/2019,Profile review,open,Leonard Hofstadter,Singapore,Artem  Armens,$200
4980,Financial Controller,8/28/2019,Test task,open,Stuart Bloom,Poland,Anshu   Krukovets,"$2,900"
4981,Technical Writer,8/28/2019,Profile review,open,Leonard Hofstadter,Singapore,Harshal   Santana,$300
4982,Technical Writer,8/28/2019,Profile review,open,Leonard Hofstadter,Brazil,Tamara  Gordienco,$100
4983,Technical Writer,8/28/2019,Profile review,lost,Leslie Winkle,Netherlands,sonal  Zhuravlova,$300
4984,Technical Writer,8/28/2019,Profile review,open,Leonard Hofstadter,United States,Weronika  Mikłas,$300
4985,Technical Writer,8/28/2019,Profile review,open,Leonard Hofstadter,Ukraine,Aleana  Conti,$700
4944,Technical Writer,8/27/2019,Profile review,lost,Leonard Hofstadter,United States,Olena    Konovalova,"$2,900"
4950,Technical Writer,8/27/2019,Profile review,lost,Leslie Winkle,Ukraine,M.suleman  Hnidenko,$300
4951,Financial Controller,8/27/2019,Profile review,lost,Stuart Bloom,Poland,Oleksandr  Tantono,"$7,800"
4952,Front-End Developer,8/27/2019,Application,lost,Leslie Winkle,France,Vadzim   Kret,$300
4953,Data Analyst,8/27/2019,Test task,open,Leonard Hofstadter,United Kingdom,Yurii  Emmanuel Imeh,"$1,200"
4955,Full Stack Node JS Engineer,8/27/2019,Application,lost,Leslie Winkle,Singapore,Konrad  Kammer,"$1,200"
4956,Full Stack Engineer,8/27/2019,Test task,open,Sheldon Cooper,Netherlands,Oleksandr   Sobko,"$2,000"
4958,Financial Controller,8/27/2019,Test task,open,Stuart Bloom,Sweeden,Sergey  Sysak,"$2,800"
4965,Office Manager,8/27/2019,Profile review,open,Leslie Winkle,Canada,Sergey  Markowski,$700
4966,Data Analyst,8/27/2019,Test task,open,Leonard Hofstadter,Netherlands,Daniel   Dyda,"$2,500"
4967,Financial Controller,8/27/2019,Test task,open,Stuart Bloom,France,Natalia  Samarets,"$1,600"
4968,Financial Controller,8/27/2019,Profile review,open,Stuart Bloom,Sweeden,Andrey  Al Nasser,"$4,900"
4970,Financial Controller,8/27/2019,Test task,open,Stuart Bloom,Netherlands,Andrew  Boryszanski,"$2,900"
4971,Financial Controller,8/27/2019,Test task,lost,Stuart Bloom,India,Artūrs  Ryzhov,"$1,500"
4927,Financial Controller,8/26/2019,Profile review,lost,Stuart Bloom,Singapore,Travis   Papoutsellis,"$2,100"
4928,Data Analyst,8/26/2019,Profile review,lost,Leonard Hofstadter,Sweeden,Paulina  Babilia,"$2,000"
4929,Data Analyst,8/26/2019,Profile review,lost,Leonard Hofstadter,France,Sebastian  Davydchuk,"$2,100"
4930,Full Stack Engineer,8/26/2019,Application,lost,Leslie Winkle,Sweeden,Michael  Gapanyuk,"$1,300"
4931,Office Manager,8/26/2019,Application,lost,Leslie Winkle,Netherlands,Ivan  Markowski,"$1,300"
4932,Office Manager,8/26/2019,Application,lost,Leslie Winkle,Sweeden,Marek  Prokopenko,"$1,000"
4933,Full Stack Node JS Engineer,8/26/2019,Test task,open,Sheldon Cooper,United Kingdom,shunu  Kuzmina,"$1,800"
4934,Full Stack Node JS Engineer,8/26/2019,Profile review,lost,Sheldon Cooper,United States,Olha  Yefimova,"$1,300"
4935,Technical Writer,8/26/2019,Profile review,lost,Leonard Hofstadter,Canada,Diana  Troukha Troukhan,"$1,900"
4936,Data Analyst,8/26/2019,Profile review,lost,Leonard Hofstadter,United States,Gayane  Morya,"$1,400"
4937,Full Stack Engineer,8/26/2019,Test task,open,Sheldon Cooper,South Korea,Jamie  Korneiko,"$2,900"
4938,Technical Writer,8/26/2019,Profile review,lost,Leonard Hofstadter,Spain,Eugene   Augustyn,"$2,300"
4939,Full Stack Engineer,8/26/2019,Application,lost,Leslie Winkle,Poland,Ebi  Rotuska,$800
4940,Data Analyst,8/26/2019,Profile review,lost,Leonard Hofstadter,France,Paulina  Durkalec,"$2,000"
4942,Office Manager,8/26/2019,RPI,open,Leslie Winkle,Germany,Ulan  Tyshchenko,$300
4943,Front-End Developer,8/26/2019,Profile review,open,Leslie Winkle,France,Volodymyr  Hordii,"$3,600"
4924,Financial Controller,8/25/2019,Test task,lost,Stuart Bloom,Ukraine,Andriy  Ly,"$2,900"
4925,Financial Controller,8/25/2019,Test task,open,Stuart Bloom,India,Krzysztof  Tsaruk,"$2,000"
4926,Full Stack Engineer,8/25/2019,Application,lost,Leslie Winkle,Canada,Сергей  Maksymets,"$1,500"
4917,Data Analyst,8/24/2019,Profile review,lost,Leonard Hofstadter,Brazil,Goran  Serbin,"$1,000"
4918,Technical Writer,8/24/2019,Profile review,lost,Leonard Hofstadter,South Korea,Feby Elsa  DRUBKOWSKI,$700
4920,Technical Writer,8/24/2019,Profile review,open,Leonard Hofstadter,Sweeden,Akhilesh   Shymanel,$600
4921,Office Manager,8/24/2019,Application,lost,Leslie Winkle,Canada,Yana  Pirus,$500
4912,Financial Controller,8/23/2019,Test task,open,Stuart Bloom,Singapore,Anastasia  Czarnik,"$1,800"
4913,Financial Controller,8/23/2019,Profile review,lost,Stuart Bloom,Sweeden,Lukasz  Savliuk,"$1,300"
4914,Financial Controller,8/23/2019,Profile review,lost,Stuart Bloom,South Korea,Marco  Meimin Meimin,"$2,600"
4916,Front-End Developer,8/23/2019,Application,lost,Leslie Winkle,United States,Rima  Athimoolam,"$1,600"
4863,Data Analyst,8/22/2019,Test task,open,Leonard Hofstadter,Sweeden,Łukasz  Azam Ansari,"$2,000"
4872,Financial Controller,8/22/2019,Profile review,lost,Stuart Bloom,Sweeden,Tymur  Jere,"$1,000"
4881,Data Analyst,8/22/2019,Profile review,lost,Leonard Hofstadter,India,Anna  Mahato,$800
4901,Technical Content Writer,8/22/2019,Profile review,lost,Leslie Winkle,India,Elena   Waterman,"$1,100"
4902,Financial Controller,8/22/2019,Test task,lost,Stuart Bloom,United Kingdom,Aleksandra  Horizon,"$2,900"
4782,Front-End Developer,8/21/2019,Test task,open,Leslie Winkle,South Korea,Arletta  Wtulich,"$1,800"
4783,Data Analyst,8/21/2019,Profile review,lost,Leonard Hofstadter,Singapore,Kateryna   Jodlowski,"$1,000"
4784,Front-End Developer,8/21/2019,Test task,open,Leslie Winkle,Ukraine,Denis  Klochko,"$1,300"
4785,Front-End Developer,8/21/2019,Application,lost,Leslie Winkle,Ukraine,Alexis  Vovnenko,"$4,900"
4832,Data Analyst,8/21/2019,Profile review,lost,Leonard Hofstadter,Germany,Aleksander  Bhagat,"$2,300"
4833,Financial Controller,8/21/2019,Test task,lost,Stuart Bloom,Poland,Witold   Thompson,"$3,600"
4835,Financial Controller,8/21/2019,Test task,open,Stuart Bloom,Brazil,Alicja  Zientarski,"$2,900"
4770,Front-End Developer,8/20/2019,Test task,open,Leslie Winkle,United Kingdom,Srivalli   Ramirez,"$1,200"
4771,Full Stack Node JS Engineer,8/20/2019,Full Day,open,Sheldon Cooper,Poland,Zaal  Ivanenko,"$1,600"
4762,Front-End Developer,8/19/2019,Profile review,open,Leslie Winkle,Poland,Yevhen   Abdul Rahman,"$2,800"
4763,Data Analyst,8/19/2019,Test task,lost,Leonard Hofstadter,France,Marta  Novachenko,"$1,900"
4764,Front-End Developer,8/19/2019,Application,lost,Leslie Winkle,United Kingdom,Maksym  Loseva,"$6,000"
4768,Data Analyst,8/19/2019,Profile review,lost,Leonard Hofstadter,Poland,Edyta  Lyakh,$700
4769,Full Stack Node JS Engineer,8/19/2019,Full Day,open,Sheldon Cooper,Ukraine,Monika  Gelenidze,"$2,900"
4759,Front-End Developer,8/18/2019,Profile review,open,Leslie Winkle,India,Anastasiia  Makhaev,"$2,300"
4760,Technical Content Writer,8/18/2019,Profile review,lost,Leonard Hofstadter,Brazil,Kseniia  Morrow,$300
4761,Technical Content Writer,8/18/2019,Profile review,lost,Leonard Hofstadter,India,Luis Fernando Castro  Pınar,$300
4756,Data Analyst,8/17/2019,Profile review,lost,Leonard Hofstadter,Poland,Vadim  Kucherenko,"$3,300"
4758,Front-End Developer,8/17/2019,Application,lost,Leslie Winkle,United Kingdom,Oleg  Patel,$500
4752,Full Stack Node JS Engineer,8/16/2019,Application,lost,Sheldon Cooper,United Kingdom,Supratim  Ганопольскька,"$3,900"
4754,Front-End Developer,8/16/2019,Application,lost,Leslie Winkle,United States,Shubham  Michalik,"$1,700"
4755,Data Analyst,8/16/2019,Profile review,lost,Leonard Hofstadter,Germany,Steven  Mikhailouskaya,"$3,000"
4746,Front-End Developer,8/15/2019,Application,lost,Leslie Winkle,Poland,Olga  Khodyriev,"$6,000"
4747,Full Stack Node JS Engineer,8/15/2019,Application,lost,Sheldon Cooper,Germany,Yevhen  Zymovets,$800
4749,Front-End Developer,8/15/2019,Test task,lost,Sheldon Cooper,Poland,Vanda  Gothi,"$1,100"
4750,Data Analyst,8/15/2019,Test task,open,Leonard Hofstadter,Singapore,Marcin  Jafarov,"$1,800"
4751,Data Analyst,8/15/2019,Test task,open,Leonard Hofstadter,Singapore,Christopher   Polishchuk,"$1,000"
4737,Data Analyst,8/14/2019,Profile review,lost,Leonard Hofstadter,Sweeden,Tushar   Khomyarchuk,"$6,000"
4738,Full Stack Engineer,8/14/2019,Application,lost,Sheldon Cooper,Poland,Jasher  Kasian,$500
4745,Data Analyst,8/14/2019,Test task,open,Leonard Hofstadter,United States,Oleg  Watkinson,"$1,300"
4734,Front-End Developer,8/13/2019,Application,lost,Leslie Winkle,Spain,Anton  Ampong,"$2,400"
4735,Full Stack Engineer,8/13/2019,Application,lost,Sheldon Cooper,Brazil,Urfa Ghazanfar   Rymanov,"$2,400"
4723,Financial Controller,8/12/2019,Test task,open,Stuart Bloom,United Kingdom,John  Raveendran,"$2,900"
4724,Front-End Developer,8/12/2019,Application,lost,Leslie Winkle,Poland,Zeeshan  Szyszka,"$1,600"
4725,Data Analyst,8/12/2019,Profile review,lost,Leonard Hofstadter,Germany,Lukasz  Panimatchenko,"$2,000"
4726,Data Analyst,8/12/2019,Profile review,lost,Leonard Hofstadter,United Kingdom,Willian Gustavo  Majewski,$500
4728,Front-End Developer,8/12/2019,Profile review,lost,Sheldon Cooper,Netherlands,Iuliia  Kochubey,"$3,600"
4729,Technical Content Writer,8/12/2019,Profile review,lost,Leslie Winkle,Singapore,Malgorzata  Pasko,$300
4730,Data Analyst,8/12/2019,Profile review,lost,Leonard Hofstadter,France,Okan  Verkunich,"$1,300"
4731,Full Stack Engineer,8/12/2019,Application,lost,Leslie Winkle,United States,Mykyta  Durvin,"$4,900"
4722,Financial Controller,8/11/2019,Profile review,lost,Stuart Bloom,Ukraine,Vladimir  Jafarov,"$3,300"
4713,Full Stack Engineer,8/9/2019,RPI,open,Sheldon Cooper,France,Anna  Saifulin,"$2,600"
4714,Front-End Developer,8/9/2019,Application,lost,Leslie Winkle,France,Evgeni   Jishkariani,$700
4715,Full Stack Node JS Engineer,8/9/2019,Test task,lost,Sheldon Cooper,United Kingdom,Denis  Adithela,"$2,600"
4716,Full Stack Engineer,8/9/2019,Profile review,lost,Sheldon Cooper,Brazil,Sergiy  Zdorik,$500
4706,Front-End Developer,8/8/2019,Application,lost,Leslie Winkle,Netherlands,Stanislav  Zientarski,"$1,100"
4707,Technical Content Writer,8/8/2019,Profile review,lost,Leonard Hofstadter,South Korea,Kamila  Herashchenko,"$1,200"
4709,Front-End Developer,8/8/2019,Application,lost,Leslie Winkle,Canada,Oleksandra  Didyk,"$1,600"
4710,Full Stack Engineer,8/8/2019,RPI,lost,Sheldon Cooper,Spain,Sergey  Pirow,"$2,300"
4711,Full Stack Engineer,8/8/2019,Profile review,open,Howard Wolowitz,India,Ilya  YILMAZLAR,"$4,600"
4712,Data Analyst,8/8/2019,Profile review,lost,Leonard Hofstadter,United Kingdom,Stanislav  Galytska,"$2,700"
4695,Data Analyst,8/7/2019,Profile review,lost,Leonard Hofstadter,India,Alex  Moroz,"$1,600"
4696,Full Stack Node JS Engineer,8/7/2019,Test task,lost,Sheldon Cooper,Canada,Nataliia  Makowska,"$1,300"
4697,Data Analyst,8/7/2019,Test task,lost,Leonard Hofstadter,South Korea,Bartosz  Korneiko,"$1,500"
4698,Front-End Developer,8/7/2019,Profile review,lost,Leslie Winkle,United States,Andriy   Gupta,"$1,000"
4703,Full Stack Engineer,8/7/2019,Profile review,lost,Sheldon Cooper,United Kingdom,Anatolii  Tatura,"$1,000"
4704,Full Stack Node JS Engineer,8/7/2019,Application,lost,Leslie Winkle,Germany,Riza  Majcher,"$2,000"
4705,Data Analyst,8/7/2019,Profile review,lost,Leonard Hofstadter,Spain,Aleksander  Volontyr,$500
4688,Link Building and Outreach Specialist,8/6/2019,Application,lost,Raj Koothrappali,Poland,Artur  Mastro,"$1,000"
4689,Data Analyst,8/6/2019,Profile review,lost,Leonard Hofstadter,Brazil,Irakli  Anurina,"$1,000"
4690,Data Analyst,8/6/2019,Profile review,lost,Leonard Hofstadter,Poland,Miłosz  Symonenko,$700
4691,Data Analyst,8/6/2019,Profile review,lost,Leonard Hofstadter,Poland,Inga  Ocalewicz,$800
4692,Full Stack Node JS Engineer,8/6/2019,Application,lost,Leslie Winkle,Ukraine,sonal  Majcher,"$3,100"
4693,Front-End Developer,8/6/2019,Profile review,lost,Sheldon Cooper,Canada,Marwan  Hihiniak,"$3,300"
4694,Front-End Developer,8/6/2019,Application,lost,Leslie Winkle,Singapore,Barbara  Tierieshchienko,$500
4678,Full Stack Engineer,8/5/2019,Test task,lost,Sheldon Cooper,Brazil,Taras  Leusenko,"$2,400"
4679,Full Stack Engineer,8/5/2019,Application,lost,Leslie Winkle,United States,Levan   Nassirova,"$2,000"
4680,Data Analyst,8/5/2019,Profile review,lost,Leonard Hofstadter,Singapore,Tereza   Popovskaya,"$1,000"
4687,Data Analyst,8/5/2019,Full Day,open,Leonard Hofstadter,Spain,Daniel  Ilczyniak,"$1,400"
4677,Full Stack Engineer,8/3/2019,Application,lost,Leslie Winkle,Netherlands,Natalya   Bruce,"$1,200"
4673,Data Analyst,8/2/2019,Profile review,lost,Leonard Hofstadter,Sweeden,RENA  Kopacki,$800
4674,Financial Controller,8/2/2019,Profile review,lost,Stuart Bloom,Spain,Tamir  Tahir Mubeen,"$3,800"
4676,Full Stack Engineer,8/2/2019,Application,lost,Leslie Winkle,India,Josefina Tous  Patel  Patel,"$1,300"
4654,Front-End Developer,8/1/2019,Full Day,lost,Leslie Winkle,Poland,Manuel  Soni,"$1,400"
4659,Data Analyst,8/1/2019,Test task,lost,Leonard Hofstadter,Germany,Makeda   Larina,"$1,700"
4661,Full Stack Node JS Engineer,8/1/2019,Test task,lost,Leslie Winkle,United States,Pavel  Kurmak,"$2,400"
4651,Full Stack Engineer,7/31/2019,Test task,lost,Sheldon Cooper,Spain,Yuriy  Bondarets,"$2,600"
4652,Link Building And Outreach Specialist,7/31/2019,Profile review,lost,Stuart Bloom,Brazil,Ivica  kukani,$700
4653,Front-End Developer,7/31/2019,Application,lost,Leslie Winkle,Germany,Tomasz  Melnychuk,$300
4647,Front-End Developer,7/30/2019,Profile review,lost,Leslie Winkle,Singapore,lokesh  Tatura,"$2,800"
4648,Data Analyst,7/30/2019,Test task,lost,Leonard Hofstadter,United States,Kirill  Ampong,"$2,600"
4649,Data Analyst,7/30/2019,Profile review,lost,Leonard Hofstadter,Ukraine,Kseniya  Gordienco,"$1,400"
4650,Recruiter,7/30/2019,Test task,lost,Leonard Hofstadter,Ukraine,Gareth   Blair,"$1,500"
4638,Recruiter,7/29/2019,Profile review,lost,Stuart Bloom,United Kingdom,Kamil  Wiatrowski,"$1,000"
4643,Link Building And Outreach Specialist,7/29/2019,Profile review,lost,Stuart Bloom,Brazil,Vasileios  Rudenko,$300
4644,Link Building And Outreach Specialist,7/29/2019,Profile review,lost,Stuart Bloom,Ukraine,Olga  Govindamma,$300
4645,Full Stack Engineer,7/29/2019,Profile review,lost,Sheldon Cooper,South Korea,Mertcan  Figueiredo,$700
4634,Full Stack Engineer,7/28/2019,Full Day,lost,Sheldon Cooper,Netherlands,Sathish  Yatskevych,"$3,100"
4635,Recruiter,7/28/2019,Profile review,lost,Stuart Bloom,India,Anastasia  Ras,"$2,000"
4636,Front-End Developer,7/28/2019,Profile review,lost,Leslie Winkle,Ukraine,Bogusia  Dmytruk,"$1,800"
4637,Recruiter,7/28/2019,Profile review,lost,Leonard Hofstadter,Poland,Olga  Kurian,"$1,800"
4630,Front-End Developer,7/27/2019,Test task,lost,Leslie Winkle,Ukraine,Luis Andres   Matysiak,$900
4631,Data Analyst,7/27/2019,Test task,lost,Leonard Hofstadter,Brazil,Michał  mosam,"$1,600"
4632,Recruiter,7/27/2019,Test task,lost,Leonard Hofstadter,Poland,Maksym  Damian,$700
4633,Full Stack Engineer,7/27/2019,Application,lost,Leslie Winkle,Brazil,Aleksandr  Espiritu,"$1,600"
4625,Data Analyst,7/26/2019,Profile review,lost,Leonard Hofstadter,Singapore,Karolina  Pushkar,"$1,000"
4626,Link Building And Outreach Specialist,7/26/2019,Profile review,lost,Stuart Bloom,United States,Estee  Gavrikov,"$1,000"
4627,Link Building And Outreach Specialist,7/26/2019,Test task,lost,Stuart Bloom,South Korea,Olha  Saez Gallego,$800
4628,Full Stack Engineer,7/26/2019,Offer,won,Sheldon Cooper,Spain,Yaroslav   Abuhasna,"$2,900"
4629,Data Analyst,7/26/2019,Profile review,lost,Leonard Hofstadter,United Kingdom,Ivica  Khodyriev,"$1,000"
4623,Link Building And Outreach Specialist,7/25/2019,Profile review,lost,Stuart Bloom,United Kingdom,Ivan  Kravets,$800
4528,Full Stack Node JS Engineer,7/24/2019,Test task,lost,Leslie Winkle,United Kingdom,Ruslana  Pervykh,$900
4529,Link Building And Outreach Specialist,7/24/2019,Offer,won,Stuart Bloom,United States,Rajeswari  Galytska,$900
4530,Front-End Developer,7/24/2019,Test task,lost,Leslie Winkle,Canada,Zaal  Smith,$800
4531,Front-End Developer,7/24/2019,Test task,lost,Sheldon Cooper,United Kingdom,Karyna  Mylkus,"$2,600"
4532,Recruiter,7/24/2019,Profile review,lost,Leonard Hofstadter,Singapore,Nikolay  Smilsky,$700
4533,Full Stack Node JS Engineer,7/24/2019,Profile review,lost,Sheldon Cooper,Spain,Dmytro  Khrabrov,"$3,100"
4534,Full Stack Engineer,7/24/2019,Offer,won,Sheldon Cooper,Brazil,Eva  Thomson,"$2,300"
4535,Data Analyst,7/24/2019,Profile review,lost,Leonard Hofstadter,Sweeden,Inna  Lazzeretti,"$3,300"
4472,Data Analyst,7/23/2019,RPI,open,Leonard Hofstadter,Poland,Burhanuddin  Kanswal,"$1,300"
4473,Data Analyst,7/23/2019,Test task,lost,Leonard Hofstadter,Germany,Tadeusz   Jishkariani,"$1,300"
4474,Data Analyst,7/23/2019,Profile review,lost,Leonard Hofstadter,Germany,Jamie  Nazarenko,"$1,000"
4475,Front-End Developer,7/23/2019,Application,lost,Leslie Winkle,Ukraine,Michael  Djamanbalaev,"$1,000"
4526,Operations Manager,7/23/2019,Profile review,lost,Stuart Bloom,Poland,Alvaro   Akauba,$700
4527,Front-End Developer,7/23/2019,Test task,lost,Leslie Winkle,Singapore,Mubeen Tahir  Belagod,"$1,100"
4459,Recruiter,7/22/2019,Profile review,lost,Leonard Hofstadter,Netherlands,Klaudia  Cohen,"$3,800"
4460,Full Stack Engineer,7/22/2019,Application,lost,Leslie Winkle,France,Vitaliy  Avasiloy,"$5,600"
4461,Link Building And Outreach Specialist,7/22/2019,Test task,lost,Stuart Bloom,Netherlands,Natasha  Kamath,$700
